State,Privately Managed Charter Schools,Takes Charter Authorization from Local District-Directly or by Appeal,Virtual Charter Schools,Vouchers for Private Schools,Tax Credit Subsidies for Private Schools,Taxpayer Funding for Private Schools and Home Schools (ESAs),Overall Grade
Alabama,Yes,Yes,No,No,Yes,No,D
Alaska,Yes,Yes,No,No,No,No,C
Arizona,Yes,Yes,Yes,No,Yes,Yes,F
Arkansas,Yes,Yes,No,Yes,No,No,D
California,Yes,Yes,Yes,No,No,No,D
Colorado,Yes,Yes,Yes,No,No,No,D
Connecticut,Yes,Yes,No,No,No,No,C
Delaware,Yes,Yes,No,No,No,No,C
DC,Yes,Yes,No,Yes,No,No,D
Florida,Yes,Yes,Yes,Yes,Yes,Yes,F
Georgia,Yes,Yes,Yes,Yes,Yes,No,F
Hawaii,Yes,Yes,Yes,No,No,No,D
Idaho,Yes,Yes,Yes,No,No,No,D
Illinois,Yes,Yes,Yes,No,No,No,D
Indiana,Yes,Yes,Yes,Yes,Yes,No,F
Iowa,Yes,No,No,No,Yes,No,C
Kansas,Yes,No,Yes,No,Yes,No,D
Kentucky,Yes,Yes,No,No,No,No,C
Louisiana,Yes,Yes,Yes,Yes,Yes,No,F
Maine,Yes,Yes,Yes,Yes,No,No,F
Maryland,Yes,Yes,No,Yes,No,No,D
Massachusetts,Yes,Yes,No,No,No,No,C
Michigan,Yes,Yes,Yes,No,No,No,D
Minnesota,Yes,Yes,Yes,No,No,No,D
Mississippi,Yes,No,Yes,Yes,No,Yes,F
Missouri,Yes,Yes,No,No,No,No,C
Montana,No,No,No,No,Yes,No,B
Nebraska,No,No,No,No,No,No,A
Nevada,Yes,Yes,Yes,No,Yes,Yes,F
New Hampshire,Yes,Yes,Yes,No,Yes,No,F
New Jersey,Yes,Yes,No,No,No,No,C
New Mexico,Yes,Yes,Yes,No,No,No,D
New York,Yes,Yes,No,No,No,No,C
North Carolina,Yes,Yes,Yes,Yes,No,No,F
North Dakota,No,No,No,No,No,No,A
Ohio,Yes,Yes,Yes,Yes,No,No,F
Oklahoma,Yes,Yes,Yes,Yes,Yes,No,F
Oregon,Yes,Yes,Yes,No,No,No,D
Pennsylvania,Yes,Yes,Yes,No,Yes,No,F
Rhode Island,Yes,Yes,No,No,Yes,No,D
South Carolina,Yes,Yes,Yes,No,Yes,No,F
South Dakota,No,No,Yes,No,Yes,No,D
Tennessee,Yes,Yes,No,No,No,Yes,D
Texas,Yes,Yes,No,No,No,No,C
Utah,Yes,Yes,Yes,Yes,No,No,F
Vermont,No,No,No,Yes,No,No,B
Virginia,Yes,No,No,No,Yes,No,C
Washington,Yes,Yes,No,No,No,No,C
West Virginia,No,No,No,No,No,No,A
Wisconsin,Yes,Yes,Yes,No,No,No,D
Wyoming,Yes,No,No,No,No,No,B
