report,dollars,month,year,sourceState,sourceId,targetState,targetId
1,400000,May,2014,NY,"Michael Bloomberg",NJ,"Newark First"
1,15000,February,2014,NY,"Michael Bloomberg",NJ,"Jeffries Team for Newark"
1,20000,April,2014,CA,"Doris Fisher",NJ,"Jeffries Team for Newark"
1,6000,April,2014,CA,"Doris Fisher",NJ,"Jeffries Team for Newark"
1,26000,April,2014,CA,"John Fisher",NJ,"Jeffries Team for Newark"
2,200000,October,2012,CA,"Eli Broad",WA,"Yes on 1240"
2,100000,June,2012,CA,"Reed Hastings",WA,"Yes on 1240"
2,600000,July,2012,TX,"Alice Walton",WA,"Yes on 1240"
2,1100000,October,2012,TX,"Alice Walton",WA,"Yes on 1240"
2,100000,October,2012,CA,"Doris Fisher",WA,"Yes on 1240"
3,1000000,March,2016,TX,"John Arnold",CA,"California Charter Schools Association IEC"
3,75000,June,2012,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,250000,October,2014,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,200000,February,2015,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,150000,April,2015,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,500000,July,2016,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,200000,October,2016,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,500000,February,2017,NY,"Michael Bloomberg",CA,"California Charter Schools Association IEC"
3,150000,June,2014,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,155000,September,2014,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,50000,April,2015,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,1000000,March,2016,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,50000,November,2016,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,300000,April,2017,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,400000,May,2017,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,500000,May,2017,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,34916,May,2017,CA,"Eli Broad",CA,"California Charter Schools Association IEC"
3,493500,June,2011,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,691000,November,2012,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,1500000,September,2014,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,1000000,July,2015,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,1500000,September,2016,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,1236000,September,2016,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,100000,October,2016,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,1000000,February,2017,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,1000000,May,2017,CA,"Reed Hastings",CA,"California Charter Schools Association IEC"
3,50000,April,2015,CA,"Laurene Powell Jobs",CA,"California Charter Schools Association IEC"
3,100000,April,2015,CA,"Laurene Powell Jobs",CA,"California Charter Schools Association IEC"
3,250000,October,2016,CA,"Laurene Powell Jobs",CA,"California Charter Schools Association IEC"
3,75000,May,2015,OK,"Stacey Schusterman",CA,"California Charter Schools Association IEC"
3,75000,March,2017,OK,"Stacey Schusterman",CA,"California Charter Schools Association IEC"
3,100000,February,2013,CA,"Carrie Walton Penner",CA,"California Charter Schools Association IEC"
3,120000,March,2014,CA,"Carrie Walton Penner",CA,"California Charter Schools Association IEC"
3,250000,May,2014,CA,"Carrie Walton Penner",CA,"California Charter Schools Association IEC"
3,150000,April,2015,CA,"Carrie Walton Penner",CA,"California Charter Schools Association IEC"
3,250000,August,2015,CA,"Carrie Walton Penner",CA,"California Charter Schools Association IEC"
3,750000,December,2015,CA,"Carrie Walton Penner",CA,"California Charter Schools Association IEC"
3,250000,October,2014,AR,"Jim Walton",CA,"California Charter Schools Association IEC"
3,225000,April,2015,AR,"Jim Walton",CA,"California Charter Schools Association IEC"
3,500000,February,2017,AR,"Jim Walton",CA,"California Charter Schools Association IEC"
3,250000,August,2015,TX,"Alice Walton",CA,"California Charter Schools Association IEC"
3,200000,May,2016,TX,"Alice Walton",CA,"California Charter Schools Association IEC"
3,204000,August,2016,TX,"Alice Walton",CA,"California Charter Schools Association IEC"
3,200000,October,2016,TX,"Alice Walton",CA,"California Charter Schools Association IEC"
3,250000,February,2014,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,250000,March,2015,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,300000,April,2014,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,500000,April,2015,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,100000,September,2015,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,1000000,March,2016,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,1000000,May,2016,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,500000,July,2016,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,700000,October,2016,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,50000,November,2016,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,300000,January,2017,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
3,100000,April,2017,CA,"Doris Fisher",CA,"California Charter Schools Association IEC"
4,2000,October,2012,CA,"Greg Penner",NJ,"Better Schools Now!"
4,2000,October,2012,CA,"Greg Penner",NJ,"Better Schools Now!"
4,2000,October,2012,CA,"Greg Penner",NJ,"Better Schools Now!"
4,2000,October,2012,CA,"Greg Penner",NJ,"Better Schools Now!"
5,17500,November,2015,TX,"Action Now Initiative",LA,"Empower Louisiana PAC"
5,625000,September,2015,TX,"Action Now Initiative",LA,"Empower Louisiana PAC"
5,125000,September,2015,TX,"Action Now Initiative",LA,"Stand for Children"
5,10000,November,2011,TX,"Laura Arnold",LA,"Alliance for Better Classrooms, ABC Inc"
5,5000,November,2011,TX,"Laura Arnold",LA,"Kira Orange-Jones"
5,4000,October,2011,TX,"John Arnold",LA,"Kira Orange-Jones"
5,1000,October,2011,TX,"John Arnold",LA,"Kira Orange-Jones"
5,5000,November,2011,TX,"Laura Arnold",LA,"Chas Roemer"
5,5000,November,2011,TX,"John Arnold",LA,"Chas Roemer"
5,2500,September,2015,TX,"John Arnold",LA,"Jada Lewis"
5,5000,October,2011,NY,"Michael Bloomberg",LA,"Kira Orange-Jones"
5,5000,November,2011,NY,"Michael Bloomberg",LA,"Kira Orange-Jones"
5,5000,October,2015,NY,"Michael Bloomberg",LA,"Kira Orange-Jones"
5,5000,October,2011,NY,"Michael Bloomberg",LA,"Glenny Lee Buquet"
5,5000,October,2011,NY,"Michael Bloomberg",LA,"John Allen (Jay) Guillot"
5,5000,October,2011,NY,"Michael Bloomberg",LA,"Holly Boffy"
5,100000,October,2011,NY,"Michael Bloomberg",LA,"Future PAC"
5,800000,October,2015,NY,"Michael Bloomberg",LA,"Empower Louisiana PAC"
5,650000,November,2015,NY,"Michael Bloomberg",LA,"Empower Louisiana PAC"
5,100000,October,2011,NY,"Michael Bloomberg",LA,"Alliance for Better Classrooms, ABC Inc"
5,5000,November,2011,CA,"Eli Broad",LA,"Kira Orange-Jones"
5,250000,September,2015,CA,"Eli Broad",LA,"Empower Louisiana PAC"
5,5000,November,2011,CA,"Reed Hastings",LA,"Kira Orange-Jones"
5,5000,September,2015,CA,"Reed Hastings",LA,"Kira Orange-Jones"
5,68600,November,2014,OK,"Stacey Schusterman",LA,"Stand for Children"
5,185000,October,2015,OK,"Stacey Schusterman",LA,"Stand for Children"
5,65000,October,2015,OK,"Stacey Schusterman",LA,"Stand for Children"
5,5000,August,2015,OK,"Stacey Schusterman",LA,"Jada Lewis"
5,250000,November,2015,AR,"Jim Walton",LA,"Empower Louisiana PAC"
5,200000,August,2015,AR,"Jim Walton",LA,"Empower Louisiana PAC"
