Report,dollars,month,year,source_state,source_name                           ,target_state,target_name                           
1,"$400,000.00 ",May,2014,NY,Michael Bloomberg,NJ,Newark First
1,"$15,000 ",February,2014,NY,Michael Bloomberg,NJ,Jeffries Team for Newark 
1,"$20,000.00 ",April ,2014,CA,Doris Fisher,NJ,Jeffries Team for Newark 
1,"$6,000.00 ",April ,2014,CA,Doris Fisher,NJ,Jeffries Team for Newark 
1,"$26,000.00 ",April ,2014,CA,John Fisher,NJ,Jeffries Team for Newark 
2,"$200,000.00 ",October,2012,CA,Eli Broad,WA,Yes on 1240: Washington Coalition for Public Charter Schools
2,"$100,000.00 ",June ,2012,CA,Reed Hastings,WA,Yes on 1240: Washington Coalition for Public Charter Schools
2,"$600,000.00 ",July,2012,TX,Alice Walton,WA,Yes on 1240: Washington Coalition for Public Charter Schools
2,"$1,100,000.00 ",October,2012,TX,Alice Walton,WA,Yes on 1240: Washington Coalition for Public Charter Schools
2,"$100,000.00 ",October,2012,CA,Doris Fisher,WA,Yes on 1240: Washington Coalition for Public Charter Schools
3,"$1,000,000.00 ",March,2016,TX,John Arnold,CA,California Charter Schools Association IEC
3,"$75,000.00 ",June,2012,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$250,000.00 ",October,2014,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$200,000.00 ",February,2015,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$150,000.00 ",April ,2015,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$500,000.00 ",July,2016,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$200,000.00 ",October,2016,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$500,000.00 ",February,2017,NY,Michael Bloomberg,CA,California Charter Schools Association IEC
3,"$150,000.00 ",June,2014,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$155,000.00 ",September,2014,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$50,000.00 ",April,2015,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$1,000,000.00 ",March,2016,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$50,000.00 ",November,2016,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$300,000.00 ",April,2017,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$400,000.00 ",May,2017,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$500,000.00 ",May,2017,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$34,916.03 ",May,2017,CA,Eli Broad,CA,California Charter Schools Association IEC
3,"$493,500.00 ",June,2011,CA,Reed Hastings,CA,California Charter Schools Association IEC
3,"$691,000.00 ",November,2012,CA,Reed Hastings,CA,California Charter Schools Association IEC
3,"$1,500,000.00 ",September,2014,CA,Reed Hastings,CA,California Charter Schools Association IEC
